l_id,r_id,brand_similarity,model_similarity,description_jaccard,description_levenshtein,similarity,predicted_match
buy.net//4233,www.ebay.com//45389,1.0,0.0,0.3333333333333333,65,0.4081,False
buy.net//4233,www.ebay.com//55385,1.0,0.0,0.2857142857142857,65,0.3962,False
buy.net//4233,www.ebay.com//58021,1.0,0.0,0.26666666666666666,63,0.3983,False
buy.net//4233,www.walmart.com//154,1.0,1.0,0.3333333333333333,68,0.6208,True
buy.net//5631,www.ebay.com//45389,1.0,0.0,0.3333333333333333,65,0.4081,False
buy.net//5631,www.ebay.com//55385,1.0,0.0,0.2857142857142857,65,0.3962,False
buy.net//5631,www.ebay.com//58021,1.0,0.0,0.26666666666666666,63,0.3983,False
buy.net//5631,www.walmart.com//154,1.0,1.0,0.3333333333333333,68,0.6208,True
buy.net//5705,www.ebay.com//45389,1.0,0.0,0.16666666666666666,188,0.3129,False
buy.net//5705,www.ebay.com//55385,1.0,0.0,0.14285714285714285,187,0.3084,False
buy.net//5705,www.ebay.com//58021,1.0,0.0,0.1836734693877551,177,0.3334,False
buy.net//5705,www.walmart.com//154,1.0,1.0,0.22448979591836735,177,0.5436,False
buy.net//6299,www.ebay.com//45389,1.0,0.0,0.14285714285714285,190,0.3051,False
buy.net//6299,www.ebay.com//55385,1.0,0.0,0.16666666666666666,188,0.314,False
buy.net//6299,www.ebay.com//58021,1.0,0.0,0.16,177,0.3286,False
buy.net//6299,www.walmart.com//154,1.0,1.0,0.2,178,0.5371,False
www.ebay.com//45389,www.walmart.com//154,1.0,0.0,0.4782608695652174,69,0.4539,False
www.ebay.com//55385,www.walmart.com//154,1.0,0.0,0.4166666666666667,68,0.4417,False
www.ebay.com//58021,www.walmart.com//154,1.0,0.0,0.2413793103448276,72,0.3853,False
buy.net//4233,www.ebay.com//23959,1.0,0.0,0.38461538461538464,63,0.4278,False
buy.net//4233,www.ebay.com//24211,1.0,0.0,0.3333333333333333,61,0.4219,False
buy.net//4233,www.ebay.com//24900,1.0,0.0,0.38461538461538464,64,0.4244,False
buy.net//4233,www.ebay.com//25046,1.0,0.0,0.38461538461538464,67,0.414,False
buy.net//4233,www.ebay.com//25067,1.0,0.0,0.28125,62,0.4055,False
buy.net//4233,www.ebay.com//42036,1.0,0.0,0.22580645161290322,70,0.3639,False
buy.net//4233,www.ebay.com//43620,1.0,0.0,0.3333333333333333,63,0.415,False
buy.net//4233,www.ebay.com//45048,1.0,0.0,0.1935483870967742,71,0.3523,False
buy.net//4233,www.ebay.com//45259,1.0,0.0,0.3,62,0.4101,False
buy.net//4233,www.ebay.com//45823,1.0,0.0,0.3333333333333333,63,0.415,False
buy.net//4233,www.ebay.com//45969,1.0,0.0,0.19444444444444445,72,0.3491,False
buy.net//4233,www.ebay.com//47015,1.0,0.0,0.32142857142857145,62,0.4155,False
buy.net//4233,www.ebay.com//47021,1.0,0.0,0.15625,71,0.343,False
